Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
UNAM;251597;USD;2021;FY;2021-12-31;2022-07-11;2022-07-12;5305829;5305829;36388384;-25972840;-5214334;-5214334;-458917;;-5673251;;-5673251;-5673251
UNM;378233;USD;2020;FY;2020-12-31;2021-02-17;2023-02-23;203642000;203755300;13162100000;-8972900000;1152200000;964000000;-171000000;;793000000;;793000000;793000000
UNM;378233;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;203653100;204243200;12007800000;-7553400000;1512900000;1260600000;-279600000;;981000000;;981000000;981000000
UNM;378233;USD;2022;FY;2022-12-31;2023-02-23;2025-02-27;204232900;204847900;11984100000;-6994600000;1942700000;1750000000;-342800000;;1407200000;;1407200000;1407200000
UNM;378233;USD;2023;FY;2023-12-31;2024-02-20;2026-02-17;196659700;197602000;12385900000;-7257100000;1834900000;1640100000;-356300000;;1283800000;;1283800000;1283800000
UNM;378233;USD;2024;FY;2024-12-31;2025-02-27;2026-02-17;187497700;188069200;12887300000;-6917900000;2452400000;2251300000;-472200000;;1779100000;;1779100000;1779100000
UVE;529179;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;31884000;31972000;1072770000;-758810000;24326000;24231000;-5126000;;19105000;;19105000;19105000
UVE;529179;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;31247000;31337000;1121851000;-779205000;29051000;28413000;-8006000;;20407000;;20407000;20407000
UVE;529179;USD;2022;FY;2022-12-31;2023-02-28;2025-02-28;30751000;30751000;1222658000;-938399000;-20638000;-27247000;4990000;;-22257000;;-22257000;-22257000
UVE;529179;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;29829000;30147000;1391582000;-992636000;94880000;88349000;-21526000;;66823000;;66823000;66823000
UVE;529179;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;28498000;29274000;1520536000;-1087366000;91087000;84611000;-25683000;;58928000;;58928000;58928000
VOYA;354109;USD;2021;FY;2021-12-31;2022-02-22;2024-02-23;127400000;127400000;4174000000;2188000000;3320000000;3085000000;34000000;;3119000000;12000000;2370000000;2334000000
WRB;1161717;USD;2020;FY;2020-12-31;2021-02-18;2023-02-24;420579000;424716750;8098925000;-4468706000;1239827000;704802000;-171817000;;532985000;;530670000;530670000
WRB;1161717;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;414981000;417802500;9455466000;-4953960000;1902236000;1282905000;-251890000;;1031015000;;1022490000;1022490000
WRB;1161717;USD;2022;FY;2022-12-31;2023-02-24;2025-02-24;416144250;419622750;11166499000;-5861750000;2343244000;1719681000;-334727000;;1384954000;;1381062000;1381062000
WRB;1161717;USD;2023;FY;2023-12-31;2024-02-23;2026-02-27;406500000;409947000;12142938000;-6372142000;2406860000;1754403000;-370557000;;1383846000;;1381359000;1381359000
WRB;1161717;USD;2024;FY;2024-12-31;2025-02-24;2026-02-27;399734;403224;13638752000;-7131595000;2904851000;2264493000;-509916000;;1754577000;;1756115000;1756115000
