ticker,revenue_usd,employees,sector,industry,market_cap,fetch_error
INTU,21447999488,18600,Technology,Software - Application,85935079424,
ISRG,11034399744,17021,Healthcare,Medical Instruments & Supplies,132258340864,
IVZ,6902499840,7405,Financial Services,Asset Management,14251612160,
INVH,2848004096,1725,Real Estate,REIT - Residential,16265763840,
IQV,16983000064,94000,Healthcare,Diagnostics & Research,43087339520,
IRM,7562470912,29400,Real Estate,REIT - Specialty,34289410048,
JBHT,12701309952,31750,Industrials,Integrated Freight & Logistics,25399296000,
JBL,33589999616,135000,Technology,Electronic Components,33330675712,
JKHY,2544338944,7300,Technology,Information Technology Services,11296542720,
J,14219215872,47000,Industrials,Engineering & Construction,16601927680,
JNJ,97929003008,138200,Healthcare,Drug Manufacturers - General,640020840448,
JCI,24995000320,87000,Industrials,Building Products & Equipment,88444305408,
JPM,186328006656,320560,Financial Services,Banks - Diversified,946925731840,
KVUE,15408000000,21780,Consumer Defensive,Household & Personal Products,34151354368,
KDP,20089999360,50000,Consumer Defensive,Beverages - Non-Alcoholic,42716327936,
KEY,7370999808,17493,Financial Services,Banks - Regional,23306088448,
KEYS,6582000128,16600,Technology,Scientific & Technical Instruments,57651683328,
KMB,16581999616,36000,Consumer Defensive,Household & Personal Products,32642633728,
KIM,2187133952,710,Real Estate,REIT - Retail,15555605504,
KMI,17959000064,11028,Energy,Oil & Gas Midstream,68719116288,
KKR,25833117696,5043,Financial Services,Asset Management,93356531712,
KLAC,13579475968,17000,Technology,Semiconductor Equipment & Materials,236014616576,
KHC,24899999744,35000,Consumer Defensive,Packaged Foods,29171265536,
KR,149326004224,400000,Consumer Defensive,Grocery Stores,34860040192,
LHX,12856000512,45000,Industrials,Aerospace & Defense,45723136000,
LH,14348000256,71000,Healthcare,Diagnostics & Research,25265895424,
LRCX,23232690176,23300,Technology,Semiconductor Equipment & Materials,373168930816,
LVS,13719000064,41000,Consumer Cyclical,Resorts & Casinos,27741042688,
LDOS,17634000896,50000,Technology,Information Technology Services,16170926080,
LEN,32737234944,12532,Consumer Cyclical,Residential Construction,19175251968,
LII,5302199808,5400,Industrials,Building Products & Equipment,12650590208,
LLY,79666003968,50000,Healthcare,Drug Manufacturers - General,994915778560,
LIN,35448999936,64649,Basic Materials,Specialty Chemicals,214918168576,
LYV,26272534528,17700,Communication Services,Entertainment,39638056960,
LMT,77013999616,123000,Industrials,Aerospace & Defense,120978202624,
L,18694000640,13100,Financial Services,Insurance - Property & Casualty,22239690752,
LOW,90431995904,300000,Consumer Cyclical,Home Improvement Retail,110426652672,
LULU,11093954560,39000,Consumer Cyclical,Apparel Retail,10956971008,
LITE,3014000128,13757,Technology,Communication Equipment,83154591744,
LYB,31192000512,18970,Basic Materials,Specialty Chemicals,20574285824,
MTB,9450999808,21662,Financial Services,Banks - Regional,34635350016,
MPC,154145996800,18500,Energy,Oil & Gas Refining & Marketing,111186952192,
MAR,7384999936,414000,Consumer Cyclical,Lodging,87275872256,
MRSH,27946999808,95000,Financial Services,Insurance Brokers,84423442432,
MLM,6688000000,9600,Basic Materials,Building Materials,36217044992,
MRVL,9450300416,7480,Technology,Semiconductors,212184170496,
MAS,7619999744,18000,Industrials,Building Products & Equipment,13511281664,
MA,35083001856,39800,Financial Services,Credit Services,498616074240,
MKC,7385800192,14100,Consumer Defensive,Packaged Foods,13797462016,
MCD,27701999616,150000,Consumer Cyclical,Restaurants,178700713984,
MCK,410983006208,41600,Healthcare,Medical Distribution,102775570432,
MDT,37541998592,95000,Healthcare,Medical Devices,116350386176,
MRK,66568998912,73000,Healthcare,Drug Manufacturers - General,355100000256,
META,228246994944,75472,Communication Services,Internet Content & Information,1650860490752,
MET,79398002688,46000,Financial Services,Insurance - Life,61730230272,
MTD,4133874944,16600,Healthcare,Diagnostics & Research,25917691904,
MGM,17761441792,60000,Consumer Cyclical,Resorts & Casinos,10205905920,
MCHP,5122299904,17900,Technology,Semiconductors,40291246080,
MU,90273996800,53000,Technology,Semiconductors,1101452017664,
MSFT,331839012864,223000,Technology,Software - Infrastructure,3680323239936,
